vehicle,autotoll_number,vehicle_effective_date,vehicle_end_date
PC9480TD-SM-03-084,,,
JAANPR70L47101042,,,
JHMGD18707S227163,CHTC10455710,,
WDB9061352N344555,,,
JAANPR66LS-7100763,,,
JAANPR75K97100768,,,
JAANPR75K97100767,,,
WMAN08ZZ69Y226132,,,
JT7X2RB7107001794,CHTC00749561,,
JT7X2RB7107001834,,,
JT7X2RB7107001986,,,
JAAN1R75KA7100167,,,
NCP20-0331962,CHTC10462147,,
JAANPR75HB7101138,,,
JT7X2RB7107003098,,,
NCP81-0115605,CHTC10455711,,
RFGHV15WYCS004714,,,
JTDKD3B3701028250,CHTC00642984,,
CWB8E-00391,,,
JT7X2RB7107001931,CHTC10451833,,
KNABX512MGT231030,,,
LGAX5DF40F3816051,,,
KNABX512MGT251093,,,
JALFVR347F7000252,,,
JALFVR347F7001239,,,
JALFVR347F7000273,,,
LGAX2C135G1816450,,,
KNABX512MHT266306,,,
KNABX512MHT266307,,,
JALFXZ777H7000003,,,
LVBV4JBB3GJ004078,,,
LVBV3JBB1GJ019746,,,
LGAX2C138G1816491,,,
LGAX2C13XG1816492,,,
LGAX2C137G1816496,,,
LGAX2C132G1816499,,,
LGAX2C131G1816493,,,
LGAX2C130G1816498,,,
JAANPR75KG7100839,,,
JAANPR75KG7100832,,,
JAANPR75KG7101022,,,
LGAX2C139G1816497,CHTC10455846,,
LGAX2C133G1816494,,,
JAANPR75KG7101023,,,
JAANPR75KG7100831,,,
JAANPR75KG7101021,,,
JAANPR75HG7102568,,,
JAANPR75HG7102198,,,
LGAX2C140F1816069,,,
JAANPR75HG7102666,CHTC10455845,,
LVBV3JBB2GJ032764,,,
JAANPR75KG7101025,,,
JHHYCT2H60K012637,,,
YV2TH60A0GZ105425,,,
MPATFR86JGT003346,,,
LGAX2C138G1817334,,,
LGAX2C134G1817332,,,
LGAX2C136G1817333,,,
LVBV3JBB4GJ032765,,,
LVBV3JBB6GJ032766,,,
LVBV3JBB8GJ032770,,,
MPATFR86JGT003347,CHTC10455825,,
LVBV3JBB1GJ032769,,,
LVBV3JBBXGJ032768,,,
LGAX2C133G1817337,,,
LGAX2C135G1817338,,,
LGAX2C131G1817336,,,
LGAX2C130G1817330,,,
JAANPR75HG7101538,,,
JAANPR75KF7106187,,,
JAANPR75KG7101882,,,
LGAX2C130G1817344,,,
LGAX2C132G1817345,,,
LGAX2C130H1817684,,,
LGAX5D643J8819683,,,
JHDSH1EEKXXX10015,,,
LZZ1EXVB8JW354517,,,
LZZ1EXVB3FW118817,,,
NCP100-2016700,,,
LZZ1BBMG7EW869801,,,
JN1MC2E26Z0005509,,,
MPATFR86JFT003968,CHTC10455847,,
V93W-0900227,,,
V93W-0900228,CHTC10455828,,
MPATFR86JFT004527,CHTC10455827,,
V93W-0900230,,,
JM6CW1071G0123573,CHTC10455736,,
JM6CW1071G0123478,,,
JM6CW1071G0123582,,,
JM6CW1071G0123570,CHTC00759741,,
JM6CW1071G0123559,CHTC10455712,,
JM6CW1071G0123499,CHTC00748211,,
JM6CW1071G0123465,CHTC10455849,,
MPATFR86JGT001834,CHTC10470810,,
JM6CW1071G0123564,,,
MPATFR86JGT001835,CHTC10455848,,
MPATFR86JGT001290,CHTC00725771,,
MPATFR86JGT003344,CHTC10455824,,
MPATFR86JGT003345,,,
JM6CW1071H0127821,CHTC00655454,,
