vehicle,name_tc,vehicle_effective_date,vehicle_value
PC9480TD-SM-03-084,偉金建築,,
JAANPR70L47101042,偉金建築,,
JHMGD18707S227163,偉金建築,,
WDB9061352N344555,偉金建築,,
JAANPR66LS-7100763,偉金建築,,
JAANPR75K97100768,偉金建築,,
JAANPR75K97100767,偉金建築,,
WMAN08ZZ69Y226132,華盛工程,,
JT7X2RB7107001794,偉金建築,,
JT7X2RB7107001834,偉金建築,,
JT7X2RB7107001986,偉金建築,,
JAAN1R75KA7100167,偉金建築,,
NCP20-0331962,偉金建築,,
JAANPR75HB7101138,偉金建築,,
JT7X2RB7107003098,偉金建築,,
NCP81-0115605,偉金建築,,
RFGHV15WYCS004714,偉金建築,,
JTDKD3B3701028250,偉金建築,,
CWB8E-00391,偉金建築,,
JT7X2RB7107001931,偉金建築,,
KNABX512MGT231030,偉金建築,,
LGAX5DF40F3816051,偉金建築,,
KNABX512MGT251093,偉金建築,,
JALFVR347F7000252,偉金建築,,
JALFVR347F7001239,偉金建築,,
JALFVR347F7000273,偉金建築,,
LGAX2C135G1816450,偉金建築,,
KNABX512MHT266306,偉金建築,,
KNABX512MHT266307,偉金建築,,
JALFXZ777H7000003,華盛工程,,
LVBV4JBB3GJ004078,偉金建築,,
LVBV3JBB1GJ019746,偉金建築,,
LGAX2C138G1816491,偉金建築,,
LGAX2C13XG1816492,偉金建築,,
LGAX2C137G1816496,偉金建築,,
LGAX2C132G1816499,偉金建築,,
LGAX2C131G1816493,偉金建築,,
LGAX2C130G1816498,偉金建築,,
JAANPR75KG7100839,偉金建築,,
JAANPR75KG7100832,偉金建築,,
JAANPR75KG7101022,偉金建築,,
LGAX2C139G1816497,偉金建築,,
LGAX2C133G1816494,偉金建築,,
JAANPR75KG7101023,偉金建築,,
JAANPR75KG7100831,偉金建築,,
JAANPR75KG7101021,偉金建築,,
JAANPR75HG7102568,偉金建築,,
JAANPR75HG7102198,偉金建築,,
LGAX2C140F1816069,偉金建築,,
JAANPR75HG7102666,偉金建築,,
LVBV3JBB2GJ032764,偉金建築,,
JAANPR75KG7101025,偉金建築,,
JHHYCT2H60K012637,偉金建築,,
YV2TH60A0GZ105425,偉金建築,,
MPATFR86JGT003346,偉金建築,,
LGAX2C138G1817334,偉金建築,,
LGAX2C134G1817332,偉金建築,,
LGAX2C136G1817333,偉金建築,,
LVBV3JBB4GJ032765,偉金建築,,
LVBV3JBB6GJ032766,偉金建築,,
LVBV3JBB8GJ032770,偉金建築,,
MPATFR86JGT003347,偉金建築,,
LVBV3JBB1GJ032769,偉金建築,,
LVBV3JBBXGJ032768,偉金建築,,
LGAX2C133G1817337,偉金建築,,
LGAX2C135G1817338,偉金建築,,
LGAX2C131G1817336,偉金建築,,
LGAX2C130G1817330,偉金建築,,
JAANPR75HG7101538,偉金建築,,
JAANPR75KF7106187,偉金建築,,
JAANPR75KG7101882,偉金建築,,
