vehicle,gps_number,vehicle_effective_date,vehicle_end_date,charge
PC9480TD-SM-03-084,,--,,
JAANPR70L47101042,13390003236,2010-07-22,,110
JHMGD18707S227163,13200208079,2015-03-17,,110
WDB9061352N344555,868998033260635,2018-04-04,,110
JAANPR66LS-7100763,863835028952302,2010-07-30,,110
JAANPR75K97100768,868998034779617,2010-06-21,,110
JAANPR75K97100767,13600001527,2010-06-21,,110
WMAN08ZZ69Y226132,13600003165,2015-06-10,,110
JT7X2RB7107001794,864394040401608,2018-06-23,,110
JT7X2RB7107001834,,--,23/12/2022,
JT7X2RB7107001986,,--,23/12/2022,
JAAN1R75KA7100167,13000110347,2011-05-18,,110
NCP20-0331962,13300217505,2011-09-08,,110
JAANPR75HB7101138,864606047300271,2011-04-14,,110
JT7X2RB7107003098,,--,23/12/2022,
NCP81-0115605,863835026308655,2011-11-15,,110
RFGHV15WYCS004714,,--,,
JTDKD3B3701028250,863835028612526,2019-07-08,,110
CWB8E-00391,13600003838,2014-01-21,,260
JT7X2RB7107001931,868998030081422,2018-09-27,,110
KNABX512MGT231030,,--,23/12/2022,
LGAX5DF40F3816051,13600002870,2016-03-15,,110
KNABX512MGT251093,864507030201833,2016-03-31,,110
JALFVR347F7000252,863835029168650,2016-10-28,,110
JALFVR347F7001239,864352048670483,2016-05-08,,110
JALFVR347F7000273,863835026801824,2016-12-02,,110
LGAX2C135G1816450,864606045904702,2020-07-02,,110
KNABX512MHT266306,,--,23/12/2022,
KNABX512MHT266307,864507031068330,2016-11-21,,110
JALFXZ777H7000003,863835027150577,2021-11-15,,110
LVBV4JBB3GJ004078,864507031087827,2016-07-27,,110
LVBV3JBB1GJ019746,863835027152896,2016-07-26,,110
LGAX2C138G1816491,864606048619331,2022-07-20,,110
LGAX2C13XG1816492,863835028956717,2022-07-20,,110
LGAX2C137G1816496,863835026312731,2016-07-26,,110
LGAX2C132G1816499,864606047302673,2016-09-02,,110
LGAX2C131G1816493,868998033967411,2016-07-26,,110
LGAX2C130G1816498,863835027270789,2016-12-22,,110
JAANPR75KG7100839,13600004213,2016-07-26,,110
JAANPR75KG7100832,13200193055,2016-07-26,,110
JAANPR75KG7101022,868998034783999,2016-07-26,,110
LGAX2C139G1816497,868998034635256,2016-07-26,,110
LGAX2C133G1816494,868998030029645,2016-07-26,,110
JAANPR75KG7101023,13510060989,2016-08-29,,110
JAANPR75KG7100831,13510061019,2016-08-29,,110
JAANPR75KG7101021,864352045819984,2016-08-29,,110
JAANPR75HG7102568,868998031043298,2016-08-29,,110
JAANPR75HG7102198,864352047145834,2016-09-28,,110
LGAX2C140F1816069,13600007015,2016-09-28,,110
JAANPR75HG7102666,13510061077,2016-08-29,,110
LVBV3JBB2GJ032764,13510095532,2016-08-29,,110
JAANPR75KG7101025,13510061057,2016-08-29,,110
JHHYCT2H60K012637,13510000865,2016-08-29,,110
YV2TH60A0GZ105425,864352045835519,2016-12-14,,110
MPATFR86JGT003346,868998030000307,2016-07-17,,110
LGAX2C138G1817334,863835026308531,2016-10-11,,110
LGAX2C134G1817332,868998037264492,2022-07-20,,110
LGAX2C136G1817333,864507039725964,2022-09-06,,110
LVBV3JBB4GJ032765,863835028583404,2017-06-30,,110
LVBV3JBB6GJ032766,13200140358,2017-06-30,,110
LVBV3JBB8GJ032770,868998031037324,2017-06-30,,110
MPATFR86JGT003347,13420601868,2016-11-24,,110
LVBV3JBB1GJ032769,13200192866,2017-06-30,,110
LVBV3JBBXGJ032768,13200131656,2017-06-30,,110
LGAX2C133G1817337,863835028951288,2016-11-24,,110
LGAX2C135G1817338,864352045763851,2016-11-24,,110
LGAX2C131G1817336,868998033266525,2016-11-24,,110
LGAX2C130G1817330,864352044658045,2016-11-24,,110
JAANPR75HG7101538,13600004169,2016-11-24,,110
JAANPR75KF7106187,863835026797592,2022-07-20,,110
JAANPR75KG7101882,13600004080,2016-11-24,,110
LGAX2C130G1817344,13300218144,2016-11-24,,110
