vehicle,vehicle_end_date,license_fee
PC9480TD-SM-03-084,2022-10-31,"4,670.00"
JAANPR70L47101042,2024-04-15,"2,404.00"
JHMGD18707S227163,2023-08-04,"5,074.00"
WDB9061352N344555,2024-04-20,"2,404.00"
JAANPR66LS-7100763,2024-03-16,"2,404.00"
JAANPR75K97100768,2024-01-13,"2,404.00"
JAANPR75K97100767,2023-04-10,"2,404.00"
WMAN08ZZ69Y226132,2023-06-10,"4,914.00"
JT7X2RB7107001794,2023-04-14,"7,498.00"
JT7X2RB7107001834,2023-05-31,"7,498.00"
JT7X2RB7107001986,2023-06-15,"7,498.00"
JAAN1R75KA7100167,2023-09-07,"4,694.00"
NCP20-0331962,2024-02-18,"5,074.00"
JAANPR75HB7101138,2024-04-04,"2,404.00"
JT7X2RB7107003098,2022-08-14,"7,498.00"
NCP81-0115605,2023-10-20,"5,074.00"
RFGHV15WYCS004714,2023-06-10,"1,314.00"
JTDKD3B3701028250,2024-02-25,"5,074.00"
CWB8E-00391,2024-01-09,"4,694.00"
JT7X2RB7107001931,2024-02-03,"7,498.00"
KNABX512MGT231030,2023-03-12,"5,074.00"
LGAX5DF40F3816051,2023-03-30,"4,694.00"
KNABX512MGT251093,2024-03-12,"5,074.00"
JALFVR347F7000252,2024-04-04,"4,804.00"
JALFVR347F7001239,2023-04-04,"4,804.00"
JALFVR347F7000273,2024-04-04,"4,804.00"
LGAX2C135G1816450,2024-04-12,"4,804.00"
KNABX512MHT266306,2023-04-18,"5,074.00"
KNABX512MHT266307,2024-04-18,"5,074.00"
JALFXZ777H7000003,2024-04-10,"4,694.00"
LVBV4JBB3GJ004078,2024-06-23,"2,404.00"
LVBV3JBB1GJ019746,2024-06-20,"2,404.00"
LGAX2C138G1816491,2023-09-08,"4,804.00"
LGAX2C13XG1816492,2023-10-10,"4,804.00"
LGAX2C137G1816496,2023-06-27,"4,804.00"
LGAX2C132G1816499,2023-06-27,"4,804.00"
LGAX2C131G1816493,2024-06-24,"4,804.00"
LGAX2C130G1816498,2024-06-29,"4,804.00"
JAANPR75KG7100839,2024-07-05,"2,404.00"
JAANPR75KG7100832,2024-07-05,"2,404.00"
JAANPR75KG7101022,2024-07-05,"2,404.00"
LGAX2C139G1816497,2024-06-27,"4,804.00"
LGAX2C133G1816494,2023-08-06,"4,804.00"
JAANPR75KG7101023,2024-07-17,"2,404.00"
JAANPR75KG7100831,2024-07-17,"2,404.00"
JAANPR75KG7101021,2024-07-17,"2,404.00"
JAANPR75HG7102568,2023-07-25,"2,404.00"
JAANPR75HG7102198,2023-07-25,"2,404.00"
LGAX2C140F1816069,2023-07-27,"4,804.00"
JAANPR75HG7102666,2023-07-25,"2,404.00"
LVBV3JBB2GJ032764,2023-07-25,"2,404.00"
JAANPR75KG7101025,2023-10-11,"2,404.00"
JHHYCT2H60K012637,2023-08-03,"4,694.00"
YV2TH60A0GZ105425,2023-08-17,"4,804.00"
MPATFR86JGT003346,2023-08-28,"2,404.00"
LGAX2C138G1817334,2023-09-20,"4,804.00"
LGAX2C134G1817332,2023-09-20,"4,804.00"
LGAX2C136G1817333,2023-09-20,"4,804.00"
LVBV3JBB4GJ032765,2023-09-22,"2,404.00"
LVBV3JBB6GJ032766,2023-09-22,"2,404.00"
LVBV3JBB8GJ032770,2023-09-22,"2,404.00"
MPATFR86JGT003347,2023-09-27,"2,404.00"
LVBV3JBB1GJ032769,2023-09-27,"2,404.00"
LVBV3JBBXGJ032768,2023-09-27,"2,404.00"
LGAX2C133G1817337,2023-10-10,"4,804.00"
LGAX2C135G1817338,2023-10-10,"4,804.00"
LGAX2C131G1817336,2023-10-30,"4,694.00"
LGAX2C130G1817330,2023-10-30,"4,694.00"
JAANPR75HG7101538,2023-11-01,"2,404.00"
JAANPR75KF7106187,2023-11-01,"2,404.00"
JAANPR75KG7101882,2023-12-02,"2,404.00"
LGAX2C130G1817344,2023-11-06,"4,804.00"
LGAX2C132G1817345,2024-01-05,"4,694.00"
LGAX2C130H1817684,2023-11-06,"4,694.00"
LGAX5D643J8819683,2023-10-26,"4,694.00"
JHDSH1EEKXXX10015,2024-03-13,"4,694.00"
LZZ1EXVB8JW354517,2023-10-27,"4,694.00"
LZZ1EXVB3FW118817,2023-11-05,"4,694.00"
NCP100-2016700,2023-12-03,"5,074.00"
LZZ1BBMG7EW869801,2024-02-01,"4,694.00"
JN1MC2E26Z0005509,2024-04-20,"4,254.00"
MPATFR86JFT003968,2023-05-19,"2,404.00"
V93W-0900227,2023-05-18,"9,929.00"
V93W-0900228,2023-05-18,"9,929.00"
MPATFR86JFT004527,2023-05-19,"2,404.00"
V93W-0900230,2023-05-18,"9,929.00"
JM6CW1071G0123573,2024-05-30,"7,498.00"
JM6CW1071G0123478,2024-05-30,"7,498.00"
JM6CW1071G0123582,2024-05-30,"7,498.00"
JM6CW1071G0123570,2023-05-30,"7,498.00"
JM6CW1071G0123559,2023-05-30,"7,498.00"
JM6CW1071G0123499,2023-05-30,"7,498.00"
JM6CW1071G0123465,2023-05-30,"7,498.00"
MPATFR86JGT001834,2024-06-05,"2,404.00"
JM6CW1071G0123564,2023-05-30,"7,498.00"
MPATFR86JGT001835,2024-06-02,"2,404.00"
MPATFR86JGT001290,2024-06-02,"2,404.00"
MPATFR86JGT003344,2022-08-28,"2,404.00"
MPATFR86JGT003345,2022-08-28,"2,404.00"
JM6CW1071H0127821,2024-01-10,"7,498.00"
JM6CW1071H0127979,2022-10-30,"7,498.00"
CV5W-1200957,2024-03-19,"7,498.00"
JM6CW1071H0126126,2022-09-27,"7,498.00"
WVWZZZ9NZ6Y187938,2023-01-11,"7,498.00"
FM657L-B00152,2023-06-20,"4,804.00"
JAANPR58LN-7103411,2023-10-05,"2,404.00"
JAANPR66PR-7100074,2024-01-18,"2,404.00"
JAANPR66LP-7102394,2023-09-21,"2,404.00"
JAANPR66LN-7100846,2023-08-07,"2,404.00"
JAANPR66LS-7101395,2024-01-15,"2,404.00"
JAANPR66PS-7100575,2023-12-12,"2,404.00"
JAANPR66LS-7103188,2024-04-13,"2,404.00"
JAANPR66PT-7101394,2024-07-08,"2,404.00"
JAANPR66LT-7103064,2023-12-02,"2,404.00"
JALFTR32NP-3000021,2021-04-26,"4,694.00"
JALFVR23PX-300007,2024-01-12,"4,694.00"
FH211H-A00363,2023-04-24,"4,694.00"
JAANPR66LS-7103675,2023-12-28,"2,404.00"
FM617J-B00071,2024-04-28,"4,694.00"
JALFVR23PV-3000235,2023-06-20,"4,804.00"
JALFVR23P57000031,2024-05-09,"4,804.00"
JAANPR70L57100166,2024-04-15,"2,404.00"
JALFVR23P57000048,2023-05-04,"4,804.00"
JAANPR70L57100160,2024-04-14,"2,404.00"
JAANPR70L57100071,2024-04-22,"2,404.00"
JALFVR23P57000030,2023-08-11,"4,804.00"
JAANPR70L57100072,2024-04-14,"2,404.00"
JALFVR23P57000028,2024-05-11,"4,804.00"
MPATFS54H4H534030,2/5//2023,"2,404.00"
MPATFS54H4H533929,2023-07-28,"2,404.00"
JTDKW223500369768,2024-07-07,"5,074.00"
JAANPR70L17100137,2024-10-06,"2,404.00"
JAANPR66PS-7101461,2023-09-08,"2,404.00"
JAANPR66LV-7100565,2023-08-18,"2,404.00"
JAANPR66PV-7100261,2023-09-23,"2,404.00"
JAANPR70PY7100808,2024-03-16,"2,404.00"
JAANPR70P27100233,2024-01-11,"2,404.00"
JALFVR23P57000099,2023-01-12,"4,694.00"
JALFVR34787000095,2024-04-24,"4,694.00"
JAANPR75K87100101,2024-01-13,"2,404.00"
JALFVR34787000091,2024-02-25,"4,694.00"
JT7X2RB7107001808,2024-04-06,"7,498.00"
JAANPR75HA7100772,2024-06-06,"2,404.00"
JAANPR75HA7100779,2024-06-06,"2,404.00"
JAANPR75KA7100644,2023-06-22,"2,404.00"
JAANPR75HA7100777,2024-06-06,"2,404.00"
JAANPR75HA7100686,2024-07-05,"2,404.00"
JAANPR75HA7100685,2024-07-17,"2,404.00"
NCP20-0329371,2024-05-08,"5,074.00"
JAAN1R75KB7100239,2023-08-31,"4,694.00"
NCP81-0041991,2023-10-20,"5,074.00"
JAAN1R75KB7100310,2023-11-30,"4,694.00"
JT7X2RB7107005727,2024-06-09,"7,498.00"
JAANPR75HE7103628,2023-07-28,"2,404.00"
JAANPR75HE7102200,2023-07-27,"2,404.00"
JALFVR347E7000431,2023-10-07,"4,694.00"
KNABX512MGT230844,2024-03-07,"5,074.00"
JN1MC2E26Z0005618,2023-03-06,"4,254.00"
LGAX2C135G1816447,2024-03-28,"4,804.00"
JALFRR90KF7000112,2023-07-31,"4,694.00"
JHDFS1ELRXXX10146,2023-08-15,"4,694.00"
LGAX2C132G1817331,2023-10-30,"4,694.00"
LGAX2C139G1817343,2023-11-06,"4,804.00"
LGAX2C137G1817342,2023-11-06,"4,804.00"
LGAX2C13XG1817335,2023-11-06,"4,804.00"
LGAX2C136G1817347,2024-02-01,"4,804.00"
LGAX2C138G1817348,2024-02-05,"4,804.00"
LGAX2C134G1817346,2024-04-05,"4,804.00"
LGAX2C135G1817341,2023-04-05,"4,804.00"
JALFVR347H7000708,2023-10-02,"4,804.00"
LGAX2C135H1818538,2023-12-19,"4,694.00"
WVWZZZAUZJW904231,2024-01-30,"1,058.00"
JTDZZ9H310L000524,2024-03-01,"5,074.00"
JALCYH52SA7000068,2023-07-24,"4,694.00"
LGAX2C134H1818711,2024-03-21,"4,694.00"
LZZ1BBMG5EW869795,2023-05-23,"4,694.00"
WV2ZZZ2KZJX160920,2024-03-27,"4,254.00"
LZZ1BBMG5EW871630,2024-02-20,"4,694.00"
