vehicle,area,fee,contract_deduct,remarks,vehicle_effective_date,vehicle_end_date
PC9480TD-SM-03-084,超濶,110,,,,
JAANPR70L47101042,,,,,,
JHMGD18707S227163,,,,,,
WDB9061352N344555,快速公路許可証,,,,2019-04-18,
JAANPR66LS-7100763,,,,,,
JAANPR75K97100768,,,,,,
JAANPR75K97100767,,,,,,
WMAN08ZZ69Y226132,超長,110,,左軚($110),,
JT7X2RB7107001794,,,,,,
JT7X2RB7107001834,港珠澳許可證,,,end VRD to 成,2019-04-01,
JT7X2RB7107001986,,,,,,
JAAN1R75KA7100167,,,,,,
NCP20-0331962,,,,,,
JAANPR75HB7101138,郊野公園証,,,,,
JT7X2RB7107003098,,,,,,
NCP81-0115605,,,,,,
RFGHV15WYCS004714,,,,,,
JTDKD3B3701028250,港珠澳/深西禁區証,,,"kit whatspp dickson
深西禁區証 23/5/19 eamil",2019-05-31,
CWB8E-00391,,,,,,
JT7X2RB7107001931,,,,,,
KNABX512MGT231030,,,,,,
LGAX5DF40F3816051,,,,,,
KNABX512MGT251093,港珠澳許可證,800,,send VRD to Dickson,2019-04-17,
JALFVR347F7000252,$110 (超長),,,,,
JALFVR347F7001239,$110 (超長),,,,,
JALFVR347F7000273,$110 (超長),,,,,
LGAX2C135G1816450,$110 (超長),,,,,
KNABX512MHT266306,,,,,,
KNABX512MHT266307,"港珠澳許可證
17/4/19 send VRD to Dickson",,,,,
JALFXZ777H7000003,,,,,,
LVBV4JBB3GJ004078,,,,,,
LVBV3JBB1GJ019746,,,,,,
LGAX2C138G1816491,$110 (超長),,,,,
LGAX2C13XG1816492,$110 (超長),,,,,
LGAX2C137G1816496,$110 (超長),,,,,
LGAX2C132G1816499,$110 (超長),,,,,
LGAX2C131G1816493,$110 (超長),,,,,
LGAX2C130G1816498,"快速公路許可証(29/6/2018)
$110 (超長)",,,,,
JAANPR75KG7100839,,,,,,
JAANPR75KG7100832,,,,,,
JAANPR75KG7101022,,,,,,
LGAX2C139G1816497,$110 (超長),,,,,
LGAX2C133G1816494,$110 (超長),,,,,
JAANPR75KG7101023,,,,,,
JAANPR75KG7100831,,,,,,
JAANPR75KG7101021,,,,,,
JAANPR75HG7102568,,,,,,
JAANPR75HG7102198,,,,,,
LGAX2C140F1816069,"港珠澳許可證
1/4/19 send VRD to Dickson
$110 (過寬)",,,,,
JAANPR75HG7102666,,,,,,
LVBV3JBB2GJ032764,,,,,,
JAANPR75KG7101025,,,,,,
JHHYCT2H60K012637,,,,,,
YV2TH60A0GZ105425,$110 (過寬),,,,,
MPATFR86JGT003346,,,,,,
LGAX2C138G1817334,$110 (超長),,,,,
LGAX2C134G1817332,$110 (超長),,,,,
LGAX2C136G1817333,$110 (超長),,,,,
LVBV3JBB4GJ032765,,,,,,
LVBV3JBB6GJ032766,,,,,,
LVBV3JBB8GJ032770,,,,,,
MPATFR86JGT003347,,,,,,
LVBV3JBB1GJ032769,,,,,,
LVBV3JBBXGJ032768,,,,,,
LGAX2C133G1817337,$110 (超長),,,,,
LGAX2C135G1817338,$110 (超長),,,,,
LGAX2C131G1817336,,,,,,
LGAX2C130G1817330,,,,,,
JAANPR75HG7101538,,,,,,
JAANPR75KF7106187,,,,,,
JAANPR75KG7101882,,,,,,
LGAX2C130G1817344,"快速公路許可証(6/11/2018)
$110 (超長)",,,,,
LGAX2C132G1817345,,,,,,
LGAX2C130H1817684,,,,,,
LGAX5D643J8819683,,,,,,
JHDSH1EEKXXX10015,,,,,,
LZZ1EXVB8JW354517,,,,,,
LZZ1EXVB3FW118817,,,,,,
NCP100-2016700,,,,,,
LZZ1BBMG7EW869801,,,,,,
JN1MC2E26Z0005509,,,,,,
MPATFR86JFT003968,1/4/19 send VRD to Dickson,,,,,
V93W-0900227,,,,,,
V93W-0900228,,,,,,
MPATFR86JFT004527,,,,,,
V93W-0900230,,,,,,
JM6CW1071G0123573,,,,,,
JM6CW1071G0123478,,,,,,
JM6CW1071G0123582,,,,,,
JM6CW1071G0123570,,,,,,
JM6CW1071G0123559,,,,,,
JM6CW1071G0123499,,,,,,
JM6CW1071G0123465,,,,,,
MPATFR86JGT001834,,,,,,
JM6CW1071G0123564,,,,,,
MPATFR86JGT001835,,,,,,
MPATFR86JGT001290,,,,,,
MPATFR86JGT003344,,,,,,
MPATFR86JGT003345,,,,,,
JM6CW1071H0127821,,,,,,
JM6CW1071H0127979,,,,,,
CV5W-1200957,,,,,,
JM6CW1071H0126126,,,,,,
WVWZZZ9NZ6Y187938,,,,,,
FM657L-B00152,$110 (過寬),,,,,
JAANPR58LN-7103411,,,,,,
JAANPR66PR-7100074,,,,,,
JAANPR66LP-7102394,,,,,,
JAANPR66LN-7100846,,,,,,
JAANPR66LS-7101395,,,,,,
JAANPR66PS-7100575,,,,,,
JAANPR66LS-7103188,,,,,,
JAANPR66PT-7101394,,,,,,
JAANPR66LT-7103064,,,,,,
JALFTR32NP-3000021,,,,,,
JALFVR23PX-300007,,,,,,
FH211H-A00363,,,,,,
JAANPR66LS-7103675,,,,,,
FM617J-B00071,,,,,,
JALFVR23PV-3000235,$110 (過寬),,,,,
JALFVR23P57000031,"快速公路許可証
(15/4/2019)
$110 (超長)",,,,,
JAANPR70L57100166,,,,,,
JALFVR23P57000048,$110 (超長),,,,,
JAANPR70L57100160,,,,,,
JAANPR70L57100071,,,,,,
JALFVR23P57000030,$110 (超長),,,,,
JAANPR70L57100072,,,,,,
JALFVR23P57000028,"快速公路許可証
(15/4/2019)
$110 (超長)",,,,,
MPATFS54H4H534030,,,,,,
MPATFS54H4H533929,,,,,,
JTDKW223500369768,,,,,,
JAANPR70L17100137,,,,,,
JAANPR66PS-7101461,,,,,,
JAANPR66LV-7100565,,,,,,
JAANPR66PV-7100261,,,,,,
JAANPR70PY7100808,,,,,,
JAANPR70P27100233,,,,,,
JALFVR23P57000099,,,,,,
JALFVR34787000095,,,,,,
JAANPR75K87100101,,,,,,
JALFVR34787000091,,,,,,
JT7X2RB7107001808,,,,,,
JAANPR75HA7100772,,,,,,
JAANPR75HA7100779,,,,,,
JAANPR75KA7100644,,,,,,
JAANPR75HA7100777,,,,,,
JAANPR75HA7100686,,,,,,
JAANPR75HA7100685,,,,,,
NCP20-0329371,,,,,,
JAAN1R75KB7100239,,,,,,
NCP81-0041991,,,,,,
JAAN1R75KB7100310,,,,,,
JT7X2RB7107005727,,,,,,
JAANPR75HE7103628,,,,,,
JAANPR75HE7102200,,,,,,
JALFVR347E7000431,,,,,,
KNABX512MGT230844,,,,,,
JN1MC2E26Z0005618,,,,,,
LGAX2C135G1816447,"快速公路許可証(28/3/2020)
$110 (超長)",,,,,
JALFRR90KF7000112,,,,,,
JHDFS1ELRXXX10146,,,,,,
LGAX2C132G1817331,,,,,,
LGAX2C139G1817343,"快速公路許可証(01/11/2018)
$110 (超長)",,,,,
LGAX2C137G1817342,"快速公路許可証(6/11/2018)
$110 (超長)",,,,,
LGAX2C13XG1817335,"快速公路許可証(6/11/2018)
$110 (超長)",,,,,
LGAX2C136G1817347,$110 (超長),,,,,
LGAX2C138G1817348,$110 (超長),,,,,
LGAX2C134G1817346,"快速公路許可証(5/4/2019)
$110 (超長)",,,,,
LGAX2C135G1817341,"快速公路許可証(5/4/2019)
$110 (超長)",,,,,
JALFVR347H7000708,$110 (超長),,,,,
LGAX2C135H1818538,,,,,,
WVWZZZAUZJW904231,,,,,,
JTDZZ9H310L000524,,,,,,
JALCYH52SA7000068,,,,,,
LGAX2C134H1818711,,,,,,
LZZ1BBMG5EW869795,,,,,,
WV2ZZZ2KZJX160920,,,,,,
LZZ1BBMG5EW871630,,,,,,
LZZ1BBMG0EW872071,,,,,,
NCP100-2016057,,,,,,
NCP100-0134371,,,,,,
LZZ1BBMG1FW110837,,,,,,
LZZ1BBMGXFW110836,,,,,,
LZZ1BBMG8FW110835,,,,,,
ZA9S5020E6AC38281,超闊($110),,,,,
WV2ZZZ2KZKX098541,,,,,,
WMAN08ZZ2LY410927,超濶($110)，左軚($110),,,,,
WMAN08ZZ4LY410833,超濶($110)，左軚($110),,,,,
WMAN08ZZ3LY410614,超濶($110)，左軚($110),,,,,
WMAN08ZZ9LY410911,超濶($110)，左軚($110),,,,,
WMAN08ZZ5LY410775,超濶($110)，左軚($110),,,,,
MPATFR86JDT000803,,,,,,
MPATFR86JDT001025,,,,,,
MPATFR86JDT001024,,,,,,
MPATFR86JCT101113,,,,,,
MPATFR86JDT000712,,,,,,
MPATFR86JCT101112,,,,,,
MPATFR86JDT000713,,,,,,
V93W1200157,,,,,,
GC27-800141,,,,,,
GC27-800129,,,,,,
GC27-800142,,,,,,
GC27-800133,,,,,,
GC27-800134,,,,,,
GC27-800145,,,,,,
GC27-800136,,,,,,
V93W1200153,,,,,,
MMCJLKL60LH132461,,,,,,
MMCJLKL60LH133842,,,,,,
MMCJLKL60LH133859,,,,,,
MMCJLKL60LH133832,,,,,,
MMCJLKL60LH133838,,,,,,
MMCJLKL60LH133888,,,,,,
WMAH21ZZ28M493806,"快速公路許可証(12/6/2019)
超重($110)",,,,,
JAANPR66LP-7102099,,,,,,
JAANPR70L47101051,,,,,,
JT7X2RB7107003071,,,,,,
JN1MC2E26Z0005490,,,,,,
YV2TH60AXDB640783,,,,,,
PKC8E-01295,,,,,,
YV2TH60A9DB640788,,,,,,
JTDBT42EX09070780,,,,,,
JTDBT22E300169384,,,,,,
JAAN1R75K87100201,,,,,,
JT7X2RB7107001934,,,,,,
JTFHT02P900060290,,,,,,
JAANPR75HB7101375,,,,,,
JT7X2RB8007000179,,,,,,
LVBV4JBB5GJ004082,,,,,,
JAAN1R75KJ7100192,,,,,,
JTDBT22E400246344,,,,,,
LGAX2C139J1820234,$110 (超長),,,,,
JTDBT22E700014935,,,,,,
LJ11KCBE4L1112027,,,,,,
JTDBT22EX03307288,,,,,,
JTDBT22E203245000,,,,,,
JTDBT22E400154621,,,,,,
LJ11KCBE8L1112032,,,,,,
JTFSAFAP908024441,,,,,,
JTFSAFAP108024319,,,,,,
JTFSAFAPX08024223,,,,,,
