reg_mark,vehicle_effective_date,vehicle
45690T,,PC9480TD-SM-03-084
LW6537,,JAANPR70L47101042
MY5431,,JHMGD18707S227163
NG2822,,WDB9061352N344555
NK1420,,JAANPR66LS-7100763
NS3467,,JAANPR75K97100768
NS3686,,JAANPR75K97100767
NU2943,,WMAN08ZZ69Y226132
PG3148,,JT7X2RB7107001794
PG3820,,JT7X2RB7107001834
PG9122,,JT7X2RB7107001986
PK8384,,JAAN1R75KA7100167
PM2892,,NCP20-0331962
PU4067,,JAANPR75HB7101138
PU8324,,JT7X2RB7107003098
RB8428,,NCP81-0115605
RS761,,RFGHV15WYCS004714
RX2873,,JTDKD3B3701028250
SL2396,,CWB8E-00391
SS3044,,JT7X2RB7107001931
TZ2827,,KNABX512MGT231030
TZ2967,,LGAX5DF40F3816051
TZ4274,,KNABX512MGT251093
UA4780,,JALFVR347F7000252
UA5334,,JALFVR347F7001239
UA6399,,JALFVR347F7000273
UA9273,,LGAX2C135G1816450
UB1356,,KNABX512MHT266306
UB510,,KNABX512MHT266307
UB8622,,JALFXZ777H7000003
UD8950,,LVBV4JBB3GJ004078
UD937,,LVBV3JBB1GJ019746
UD9370,,LGAX2C138G1816491
UD9464,,LGAX2C13XG1816492
UE1051,,LGAX2C137G1816496
UE1062,,LGAX2C132G1816499
UE2260,,LGAX2C131G1816493
UE2736,,LGAX2C130G1816498
UE5323,,JAANPR75KG7100839
UE5490,,JAANPR75KG7100832
UE5676,,JAANPR75KG7101022
UE682,,LGAX2C139G1816497
UE790,,LGAX2C133G1816494
UE9034,,JAANPR75KG7101023
UE9183,,JAANPR75KG7100831
UE9534,,JAANPR75KG7101021
UF3039,,JAANPR75HG7102568
UF3575,,JAANPR75HG7102198
UF3602,,LGAX2C140F1816069
UF3985,,JAANPR75HG7102666
UF4213,,LVBV3JBB2GJ032764
UF445,,JAANPR75KG7101025
UF7854,,JHHYCT2H60K012637
UG2469,,YV2TH60A0GZ105425
UG7610,,MPATFR86JGT003346
UH4823,,LGAX2C138G1817334
UH4833,,LGAX2C134G1817332
UH4902,,LGAX2C136G1817333
UH7785,,LVBV3JBB4GJ032765
UH8299,,LVBV3JBB6GJ032766
UH8339,,LVBV3JBB8GJ032770
UH9040,,MPATFR86JGT003347
UH9367,,LVBV3JBB1GJ032769
UH9992,,LVBV3JBBXGJ032768
UJ2600,,LGAX2C133G1817337
UJ3690,,LGAX2C135G1817338
UK2555,,LGAX2C131G1817336
UK3474,,LGAX2C130G1817330
UK4763,,JAANPR75HG7101538
UK5192,,JAANPR75KF7106187
UK5207,,JAANPR75KG7101882
UK5936,,LGAX2C130G1817344
UN2125,,LGAX2C132G1817345
VC6946,,LGAX2C130H1817684
VT1605,,LGAX5D643J8819683
WE4787,,JHDSH1EEKXXX10015
WK9478,,LZZ1EXVB8JW354517
WL3912,,LZZ1EXVB3FW118817
WM6182,,NCP100-2016700
XD6036,,LZZ1BBMG7EW869801
UB3440,,JN1MC2E26Z0005509
UC4647,2023-03-20,MPATFR86JFT003968
UC4706,,V93W-0900227
UC4731,,V93W-0900228
UC5614,2023-03-20,MPATFR86JFT004527
UC6054,,V93W-0900230
UC8508,2023-03-20,JM6CW1071G0123573
UC8657,2023-03-20,JM6CW1071G0123478
