in_charge,print_number,mvmd_remarks,district,usage,purpose,type,type_detail,make,maintainance,maintainance_remarks,maintainance_end_date,maintenance_mileage,vehicle_class,license,vehicle_model,chassis_number,engine_number,cylinder_capacity,color,body_type,gross_weight,registered_owner,owner_registration_date,manufacture_year,first_registration_date,rearview_mirror,後備匙,spare_key,car_loan,remarks,new_car,gratia_payment_scheme
Adam,,,小濠灣廠,各區,工程車,搬機架,28呎半搬機架,SUPER TIME,,,,,Trailer,19,,PC9480TD-SM-03-084,,,,SEMI-TRAILER,38,偉金建築,2020-04-07,2003,2003-07-23,-,-,-,,"7/4/2020-完成過戶手續, 拖架放小濠灣",,
Adam,W535,,大欖,頭車,工程車,燈車,5.5噸燈車,ISUZU,新記包保養,,,,S.P.V.,2,NPR70LU-5JM-D,JAANPR70L47101042,4HE1-163411,4751,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2009-09-09,2005,2005-04-12,N,N,-,,2/4/2022 由華盛過戶至偉金,,
Adam,W688,機械部暫借07HY,大埔,結構,合約車,私家車,5座位私家車,HONDA,新記包保養,,,,Private Car,2,GD1877M9 KU JAZZ,JHMGD18707S227163,L13A26000627,1339,WHITE,STATION WAGGON,,偉金建築,2015-06-11,2007,2007-08-02,N,-,29/7/17 平借(配匙),,"1/4/2023 , MY5431 ,5座位私家車由WCCLAD 資產轉移 轉給08HY2021 1/Feb 防疫隊轉交路政MVMD,泊回康樂園 20/10/2022 MVMD交暫借文件申請給老闆簽名. 4/6/2020 1345-MY5431交03HY(王志豪)使用,，收回PU6664泊山塘(有收車紙)。
29/7/17-地盤遺失車匙, 沒有歸還後備匙",,
Adam,,,各區,各區,工程車,橋檢車,5.5噸橋檢車,MERCEDES BENZ,,,,,S.P.V.,2,SPRINTER 311 CDI,WDB9061352N344555,64698551404711,2148,YELLOW,AERIAL PLATFORM,3.8,偉金建築,2017-03-27,2007,2008-03-31,,Y,,,上裝MODEL: MOOG MBI 50-1/S (創捷),,
Adam,W538,,大欖,-,工程車,燈車,5.5噸燈車(細水),ISUZU,新記包保養,,,,S.P.V.,2,NPR66L-RPV,JAANPR66LS-7100763,4HF1-252324,4334,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2009-03-17,1995,1995-07-14,N,Y,-,,上裝有細水機,,
Adam,W051,,大欖,各區,工程車,燈車,5.5噸燈車(孖屋),ISUZU,新記包保養,,,,S.P.V.,2,NPR75KJW,JAANPR75K97100768,4HK1-717908,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2009-01-14,2008,2009-01-14,Y,Y,Y,,,,
Adam,W052,,大欖,各區,工程車,燈車,5.5噸燈車(孖屋),ISUZU,"新記包保養
(1/2018)",,,,S.P.V.,2,NPR75KJW,JAANPR75K97100767,4HK1-717602,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2009-01-14,2008,2009-01-14,Y,Y,Y,,"車斗霉爛(需完成維修後才能驗車)
8/10/2021-與03HY李錦傑及05HY2020良確認,NS3686已由05HY2020交回03HY使用(2021年9月開始扣03HY)
1/4/2021-03HY李錦傑通知NS3686由03HY暫借05HY2020使用(未收交收紙)",,
Adam,W573,23/5 維修完6月轉去WCCLRS (未收資產轉移),大欖,各區,工程車,掃街車,16噸掃街車,MAN,,,,,S.P.V.,18,TGM 18.240 4X2 BB,WMAN08ZZ69Y226132,21820775412077,6871,YELLOW,ROAD SWEEPER,16,華盛工程,2015-04-21,2008,2009-04-16,Y,Y,Y,,"28/11/2019-收到曾廣輝通知,此車轉移使用地盤(05HY轉至03HY)-未簽交收紙
8/10/2019-收到曾廣輝通知,此車轉移使用地盤(03HY轉至05HY)-未簽交收紙
20/7/2019-換上裝新機器,Engine Serial No.:CD4045C093505/ 4045DF150
上裝MODEL:BUCHER CF60 (創捷)",,
Adam,W454,"10-7-2023 XW7749 需入廠維修, 暫借PG3148給07HY2021 使用.",大欖,各區,員工車,私家車,8座位私家車(NOAH),TOYOTA,,,,,Private Car,2,ZRR70RARXEPFT,JT7X2RB7107001794,3ZR-A519831,1987,YELLOW,STATION WAGGON,,偉金建築,2010-05-28,2010,2010-05-28,N,-,Y (鳳凰卷),,"10-7-2023 XW7749 需入廠維修, 暫借PG3148給07HY2021 使用. 24/3/2023 資產轉移由07HY 轉去WCCLAD 14/10/2022 -資產轉移,由MVMD蠹交07HY2021 頂替合約車",,
Adam,W455,"機械部,待申報廢,待更換電車(巡路車,車頭壞)-己準備報廢 (電車一換一計劃)",大欖(港珠澳),各區,工程車,私家車,8座位私家車(NOAH),TOYOTA,,,,,Private Car,2,ZRR70RARXEPFT,JT7X2RB7107001834,3ZR-A522728,1987,YELLOW,STATION WAGGON,,偉金建築,2010-05-28,2010,2010-05-28,N,-,Y (鳳凰卷),,,,
